,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,casual,registered,cnt,en_dteday
138,139,12,1,0,1,0,False,5,2,0.2,0.64,0.194,4,13,17,12
139,140,12,1,0,1,1,False,5,2,0.2,0.69,0.2239,2,5,7,12
140,141,12,1,0,1,2,False,5,2,0.2,0.69,0.2239,0,1,1,12
141,142,12,1,0,1,4,False,5,2,0.2,0.69,0.1343,0,1,1,12
142,143,12,1,0,1,5,False,5,3,0.22,0.55,0.0,0,5,5,12
143,144,12,1,0,1,6,False,5,2,0.2,0.69,0.0,8,26,34,12
144,145,12,1,0,1,7,False,5,1,0.2,0.69,0.1343,8,76,84,12
145,146,12,1,0,1,8,False,5,1,0.2,0.51,0.2537,20,190,210,12
146,147,12,1,0,1,9,False,5,1,0.2,0.47,0.2985,9,125,134,12
147,148,12,1,0,1,10,False,5,1,0.22,0.37,0.3284,16,47,63,12
148,149,12,1,0,1,11,False,5,2,0.2,0.4,0.2239,19,48,67,12
149,150,12,1,0,1,12,False,5,2,0.2,0.37,0.2537,9,50,59,12
150,151,12,1,0,1,13,False,5,2,0.2,0.37,0.2836,9,64,73,12
151,152,12,1,0,1,14,False,5,2,0.2,0.4,0.2537,7,43,50,12
152,153,12,1,0,1,15,False,5,2,0.2,0.37,0.1642,9,63,72,12
153,154,12,1,0,1,16,False,5,2,0.2,0.37,0.1642,5,82,87,12
154,155,12,1,0,1,17,False,5,2,0.2,0.37,0.0,9,178,187,12
155,156,12,1,0,1,18,False,5,1,0.2,0.4,0.0896,7,116,123,12
156,157,12,1,0,1,19,False,5,1,0.16,0.55,0.0896,3,92,95,12
157,158,12,1,0,1,20,False,5,1,0.18,0.47,0.1045,1,50,51,12
158,159,12,1,0,1,21,False,5,1,0.18,0.47,0.1343,0,39,39,12
159,160,12,1,0,1,22,False,5,2,0.18,0.43,0.1642,2,34,36,12
160,161,12,1,0,1,23,False,5,2,0.18,0.51,0.1642,1,14,15,12
161,162,14,1,0,1,0,False,6,2,0.18,0.51,0.1642,1,24,25,14
162,163,14,1,0,1,1,False,6,2,0.18,0.55,0.0896,1,15,16,14
163,164,14,1,0,1,2,False,6,2,0.18,0.55,0.0,3,13,16,14
164,165,14,1,0,1,3,False,6,3,0.18,0.55,0.1642,0,7,7,14
165,166,14,1,0,1,4,False,6,3,0.18,0.55,0.1642,0,1,1,14
166,167,14,1,0,1,5,False,6,2,0.16,0.74,0.1642,0,5,5,14
167,168,14,1,0,1,6,False,6,2,0.16,0.74,0.1642,0,2,2,14
168,169,14,1,0,1,7,False,6,2,0.16,0.74,0.1045,1,8,9,14
169,170,14,1,0,1,8,False,6,3,0.16,0.93,0.1045,0,15,15,14
170,171,14,1,0,1,9,False,6,3,0.16,0.93,0.1045,0,20,20,14
171,172,14,1,0,1,10,False,6,2,0.18,0.8,0.1642,5,56,61,14
172,173,14,1,0,1,11,False,6,2,0.2,0.69,0.3881,2,60,62,14
173,174,14,1,0,1,12,False,6,2,0.2,0.59,0.3582,8,90,98,14
174,175,14,1,0,1,13,False,6,1,0.2,0.44,0.3284,7,95,102,14
175,176,14,1,0,1,14,False,6,1,0.2,0.32,0.4925,12,83,95,14
176,177,14,1,0,1,15,False,6,1,0.2,0.32,0.4478,5,69,74,14
177,178,14,1,0,1,16,False,6,1,0.18,0.29,0.4478,8,68,76,14
178,179,14,1,0,1,17,False,6,1,0.16,0.37,0.5522,5,64,69,14
179,180,14,1,0,1,18,False,6,1,0.14,0.39,0.2985,3,52,55,14
180,181,14,1,0,1,19,False,6,1,0.14,0.36,0.2537,4,26,30,14
181,182,14,1,0,1,20,False,6,1,0.12,0.36,0.2537,0,28,28,14
182,183,14,1,0,1,21,False,6,1,0.12,0.39,0.3582,2,35,37,14
183,184,14,1,0,1,22,False,6,1,0.12,0.36,0.3881,1,33,34,14
184,185,14,1,0,1,23,False,6,1,0.1,0.39,0.4478,0,22,22,14
185,186,16,1,0,1,0,False,0,1,0.1,0.42,0.3881,1,24,25,16
186,187,16,1,0,1,1,False,0,1,0.1,0.42,0.4627,0,12,12,16
187,188,16,1,0,1,2,False,0,1,0.1,0.46,0.4627,0,11,11,16
188,189,16,1,0,1,3,False,0,1,0.1,0.46,0.4179,0,4,4,16
189,190,16,1,0,1,4,False,0,1,0.08,0.53,0.194,0,1,1,16
190,191,16,1,0,1,5,False,0,1,0.08,0.53,0.194,0,1,1,16
191,192,16,1,0,1,6,False,0,1,0.1,0.49,0.2836,0,1,1,16
192,193,16,1,0,1,7,False,0,1,0.08,0.53,0.194,1,5,6,16
193,194,16,1,0,1,8,False,0,1,0.1,0.49,0.2836,0,10,10,16
194,195,16,1,0,1,9,False,0,1,0.12,0.46,0.5224,0,19,19,16
195,196,16,1,0,1,10,False,0,1,0.14,0.43,0.3881,0,49,49,16
196,197,16,1,0,1,11,False,0,1,0.16,0.4,0.5224,2,47,49,16
197,198,16,1,0,1,12,False,0,1,0.18,0.37,0.4478,4,79,83,16
198,199,16,1,0,1,13,False,0,1,0.2,0.34,0.4478,6,69,75,16
199,200,16,1,0,1,14,False,0,1,0.22,0.32,0.4627,8,64,72,16
200,201,16,1,0,1,15,False,0,1,0.22,0.35,0.3582,5,77,82,16
201,202,16,1,0,1,16,False,0,1,0.2,0.34,0.4478,13,79,92,16
202,203,16,1,0,1,17,False,0,1,0.18,0.37,0.3881,3,59,62,16
203,204,16,1,0,1,18,False,0,1,0.16,0.4,0.3284,4,44,48,16
204,205,16,1,0,1,19,False,0,1,0.16,0.43,0.3284,1,40,41,16
205,206,16,1,0,1,20,False,0,1,0.14,0.46,0.2537,0,38,38,16
206,207,16,1,0,1,21,False,0,1,0.14,0.46,0.4179,1,19,20,16
207,208,16,1,0,1,22,False,0,1,0.14,0.46,0.2985,5,10,15,16
208,209,16,1,0,1,23,False,0,1,0.12,0.5,0.194,0,6,6,16
209,210,18,1,0,1,0,False,1,1,0.12,0.5,0.2836,2,3,5,18
210,211,18,1,0,1,1,False,1,1,0.12,0.5,0.2836,1,0,1,18
211,212,18,1,0,1,2,False,1,1,0.12,0.5,0.2239,0,3,3,18
212,213,18,1,0,1,3,False,1,1,0.12,0.5,0.2239,0,1,1,18
213,214,18,1,0,1,4,False,1,1,0.1,0.54,0.1343,1,2,3,18
214,215,18,1,0,1,5,False,1,1,0.1,0.54,0.2537,0,3,3,18
215,216,18,1,0,1,6,False,1,1,0.12,0.5,0.2836,0,31,31,18
216,217,18,1,0,1,7,False,1,1,0.12,0.5,0.2239,2,75,77,18
217,218,18,1,0,1,8,False,1,2,0.12,0.5,0.2836,4,184,188,18
218,219,18,1,0,1,9,False,1,2,0.14,0.5,0.2537,2,92,94,18
219,220,18,1,0,1,10,False,1,2,0.14,0.5,0.2985,0,31,31,18
220,221,18,1,0,1,11,False,1,2,0.16,0.47,0.2836,2,28,30,18
221,222,18,1,0,1,12,False,1,2,0.2,0.4,0.2836,5,47,52,18
222,223,18,1,0,1,13,False,1,2,0.2,0.4,0.2836,4,50,54,18
223,224,18,1,0,1,14,False,1,2,0.2,0.4,0.2239,0,47,47,18
224,225,18,1,0,1,15,False,1,2,0.2,0.4,0.2239,2,43,45,18
225,226,18,1,0,1,16,False,1,1,0.2,0.4,0.1343,4,70,74,18
226,227,18,1,0,1,17,False,1,1,0.2,0.4,0.1045,4,174,178,18
227,228,18,1,0,1,18,False,1,1,0.2,0.4,0.2239,1,154,155,18
228,229,18,1,0,1,19,False,1,1,0.16,0.47,0.1642,3,92,95,18
229,230,18,1,0,1,20,False,1,1,0.16,0.5,0.1642,1,73,74,18
230,231,18,1,0,1,21,False,1,1,0.14,0.59,0.194,1,37,38,18
231,232,18,1,0,1,22,False,1,1,0.14,0.59,0.1642,2,22,24,18
232,233,18,1,0,1,23,False,1,1,0.14,0.59,0.1642,0,18,18,18
233,234,20,1,0,1,0,False,2,1,0.14,0.59,0.1045,2,10,12,20
234,235,20,1,0,1,1,False,2,1,0.14,0.59,0.1642,0,3,3,20
235,236,20,1,0,1,2,False,2,2,0.16,0.55,0.194,0,3,3,20
236,237,20,1,0,1,5,False,2,2,0.16,0.55,0.1343,0,6,6,20
237,238,20,1,0,1,6,False,2,2,0.16,0.55,0.1343,0,27,27,20
238,239,20,1,0,1,7,False,2,2,0.16,0.55,0.0,2,97,99,20
239,240,20,1,0,1,8,False,2,2,0.18,0.51,0.0896,3,214,217,20
240,241,20,1,0,1,9,False,2,2,0.18,0.51,0.1642,3,127,130,20
241,242,20,1,0,1,10,False,2,2,0.2,0.51,0.1642,3,51,54,20
242,243,20,1,0,1,11,False,2,2,0.2,0.47,0.1343,4,31,35,20
243,244,20,1,0,1,12,False,2,2,0.2,0.51,0.1045,2,55,57,20
244,245,20,1,0,1,13,False,2,2,0.2,0.59,0.0896,6,46,52,20
245,246,20,1,0,1,14,False,2,2,0.2,0.59,0.0896,3,60,63,20
246,247,20,1,0,1,15,False,2,2,0.16,0.8,0.0896,2,45,47,20
247,248,20,1,0,1,16,False,2,2,0.16,0.86,0.2239,4,72,76,20
248,249,20,1,0,1,17,False,2,2,0.16,0.86,0.2239,6,130,136,20
249,250,20,1,0,1,18,False,2,3,0.16,0.93,0.1045,1,94,95,20
250,251,20,1,0,1,19,False,2,3,0.16,0.93,0.0,0,51,51,20
251,252,20,1,0,1,20,False,2,3,0.16,0.93,0.194,0,32,32,20
252,253,20,1,0,1,21,False,2,3,0.16,0.86,0.0896,0,20,20,20
253,254,20,1,0,1,22,False,2,3,0.16,0.93,0.1045,1,28,29,20
254,255,20,1,0,1,23,False,2,3,0.16,0.93,0.0896,1,18,19,20
255,256,22,1,0,1,0,False,3,2,0.16,0.86,0.0896,0,7,7,22
256,257,22,1,0,1,1,False,3,2,0.16,0.86,0.1045,0,6,6,22
257,258,22,1,0,1,2,False,3,1,0.14,0.86,0.1343,0,1,1,22
258,259,22,1,0,1,5,False,3,1,0.14,0.86,0.1642,0,5,5,22
259,260,22,1,0,1,6,False,3,1,0.12,0.93,0.1343,0,16,16,22
260,261,22,1,0,1,7,False,3,1,0.14,0.69,0.1343,0,54,54,22
261,262,22,1,0,1,8,False,3,1,0.16,0.59,0.1642,3,125,128,22
262,263,22,1,0,1,9,False,3,1,0.16,0.59,0.3284,3,78,81,22
263,264,22,1,0,1,10,False,3,1,0.18,0.55,0.2239,0,39,39,22
264,265,22,1,0,1,11,False,3,1,0.2,0.51,0.3881,3,32,35,22
265,266,22,1,0,1,12,False,3,1,0.2,0.47,0.5821,3,52,55,22
266,267,22,1,0,1,13,False,3,1,0.22,0.44,0.3582,0,49,49,22
267,268,22,1,0,1,14,False,3,1,0.2,0.47,0.3284,0,44,44,22
268,269,22,1,0,1,15,False,3,1,0.2,0.47,0.4179,1,48,49,22
269,270,22,1,0,1,16,False,3,1,0.22,0.44,0.3284,5,63,68,22
270,271,22,1,0,1,17,False,3,1,0.2,0.47,0.3582,0,139,139,22
271,272,22,1,0,1,18,False,3,1,0.2,0.47,0.5224,2,135,137,22
272,273,22,1,0,1,19,False,3,1,0.18,0.47,0.4179,1,82,83,22
273,274,22,1,0,1,20,False,3,1,0.16,0.5,0.3284,2,54,56,22
274,275,22,1,0,1,21,False,3,1,0.16,0.55,0.3284,0,57,57,22
275,276,22,1,0,1,22,False,3,1,0.16,0.55,0.4478,1,32,33,22
276,277,22,1,0,1,23,False,3,1,0.14,0.59,0.4179,1,19,20,22
277,278,24,1,0,1,0,False,4,1,0.14,0.59,0.2836,1,6,7,24
278,279,24,1,0,1,1,False,4,1,0.14,0.5,0.2836,0,2,2,24
279,280,24,1,0,1,2,False,4,1,0.14,0.5,0.3582,0,2,2,24
280,281,24,1,0,1,3,False,4,1,0.14,0.5,0.3284,0,3,3,24
281,282,24,1,0,1,4,False,4,1,0.14,0.5,0.2537,0,4,4,24
282,283,24,1,0,1,5,False,4,1,0.14,0.5,0.2985,0,3,3,24
283,284,24,1,0,1,6,False,4,1,0.12,0.54,0.1343,0,28,28,24
284,285,24,1,0,1,7,False,4,1,0.12,0.54,0.1343,0,72,72,24
285,286,24,1,0,1,8,False,4,1,0.14,0.5,0.194,5,197,202,24
286,287,24,1,0,1,9,False,4,1,0.14,0.5,0.3284,2,137,139,24
287,288,24,1,0,1,10,False,4,2,0.16,0.5,0.3582,2,36,38,24
288,289,24,1,0,1,11,False,4,2,0.2,0.44,0.4478,4,33,37,24
289,290,24,1,0,1,12,False,4,1,0.2,0.44,0.4179,3,49,52,24
290,291,24,1,0,1,13,False,4,1,0.22,0.41,0.4478,2,81,83,24
291,292,24,1,0,1,14,False,4,1,0.22,0.41,0.3881,3,39,42,24
292,293,24,1,0,1,15,False,4,1,0.24,0.38,0.2985,5,55,60,24
293,294,24,1,0,1,16,False,4,1,0.24,0.38,0.3582,2,76,78,24
294,295,24,1,0,1,17,False,4,1,0.2,0.4,0.2836,4,158,162,24
295,296,24,1,0,1,18,False,4,1,0.2,0.4,0.3284,3,141,144,24
296,297,24,1,0,1,19,False,4,1,0.16,0.47,0.2537,1,98,99,24
297,298,24,1,0,1,20,False,4,1,0.16,0.47,0.2239,0,64,64,24
298,299,24,1,0,1,21,False,4,1,0.14,0.46,0.2985,0,40,40,24
299,300,24,1,0,1,22,False,4,1,0.14,0.46,0.3284,0,30,30,24
300,301,24,1,0,1,23,False,4,1,0.12,0.5,0.194,1,14,15,24
301,302,26,1,0,1,0,False,5,1,0.12,0.5,0.194,0,14,14,26
302,303,26,1,0,1,1,False,5,1,0.1,0.54,0.1642,0,5,5,26
303,304,26,1,0,1,2,False,5,1,0.1,0.54,0.1343,0,1,1,26
304,305,26,1,0,1,3,False,5,1,0.1,0.54,0.1045,0,1,1,26
305,306,26,1,0,1,5,False,5,1,0.1,0.54,0.0896,0,8,8,26
306,307,26,1,0,1,6,False,5,1,0.1,0.54,0.0,0,17,17,26
307,308,26,1,0,1,7,False,5,1,0.1,0.74,0.1642,0,70,70,26
308,309,26,1,0,1,8,False,5,1,0.12,0.68,0.0,2,156,158,26
309,310,26,1,0,1,9,False,5,1,0.14,0.69,0.1343,0,117,117,26
310,311,26,1,0,1,10,False,5,1,0.18,0.55,0.194,4,40,44,26
311,312,26,1,0,1,11,False,5,1,0.18,0.51,0.2836,6,47,53,26
312,313,26,1,0,1,12,False,5,1,0.2,0.44,0.2537,2,59,61,26
313,314,26,1,0,1,13,False,5,1,0.22,0.37,0.3881,4,73,77,26
314,315,26,1,0,1,14,False,5,1,0.22,0.41,0.2836,5,59,64,26
315,316,26,1,0,1,15,False,5,1,0.24,0.38,0.1642,9,59,68,26
316,317,26,1,0,1,16,False,5,1,0.22,0.41,0.1045,3,87,90,26
317,318,26,1,0,1,17,False,5,1,0.22,0.41,0.1642,4,155,159,26
318,319,26,1,0,1,18,False,5,1,0.2,0.47,0.0,5,134,139,26
319,320,26,1,0,1,19,False,5,1,0.16,0.59,0.0896,3,89,92,26
320,321,26,1,0,1,20,False,5,1,0.18,0.59,0.0,0,68,68,26
321,322,26,1,0,1,21,False,5,1,0.16,0.69,0.0,4,48,52,26
322,323,26,1,0,1,22,False,5,2,0.16,0.69,0.0,2,34,36,26
323,324,26,1,0,1,23,False,5,2,0.18,0.55,0.0,1,26,27,26
324,325,28,1,0,1,0,False,6,1,0.18,0.55,0.0,3,25,28,28
325,326,28,1,0,1,1,False,6,2,0.16,0.59,0.0896,2,18,20,28
326,327,28,1,0,1,2,False,6,2,0.16,0.59,0.0896,0,12,12,28
327,328,28,1,0,1,3,False,6,2,0.16,0.59,0.0,1,7,8,28
328,329,28,1,0,1,4,False,6,2,0.16,0.59,0.0,0,5,5,28
329,330,28,1,0,1,5,False,6,1,0.16,0.59,0.0,0,1,1,28
330,331,28,1,0,1,6,False,6,1,0.14,0.63,0.1045,1,2,3,28
331,332,28,1,0,1,7,False,6,1,0.14,0.63,0.0,1,9,10,28
332,333,28,1,0,1,8,False,6,1,0.14,0.63,0.1343,1,22,23,28
333,334,28,1,0,1,9,False,6,1,0.16,0.64,0.1343,2,31,33,28
334,335,28,1,0,1,10,False,6,1,0.18,0.59,0.1642,2,57,59,28
335,336,28,1,0,1,11,False,6,1,0.2,0.55,0.2239,18,54,72,28
336,337,28,1,0,1,12,False,6,1,0.24,0.48,0.2239,15,74,89,28
337,338,28,1,0,1,13,False,6,1,0.28,0.38,0.2985,21,80,101,28
338,339,28,1,0,1,14,False,6,1,0.3,0.39,0.2836,26,92,118,28
339,340,28,1,0,1,15,False,6,2,0.32,0.36,0.194,21,108,129,28
